Hobbies,Skills,Interest,University,Dedication_Hours_Per_Week,Sports/Clubs,Choice_of_Selection,Course_Fee,Learning_Environment,Assessment,Desired_Industries,Predicted Degree
Reading,Communication,Business,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Law,Arts
Travel,Programming,Science,ICBT Campus,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Business Management,Arts
Art,Programming,Engineering,Informatics Institute of Technology,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Computer Science,Arts
Sports,Problem Solving,Business,Informatics Institute of Technology,20 - 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Art,Science
Reading,Leadership,Science,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Presentations,Business Management,Arts
Art,Problem Solving,Business,ICBT Campus,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,Law,Arts
Travel,Leadership,Arts,Esoft Metro Campus,20 - 30 hours,No,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Art,Arts
Art,Leadership,Engineering,ICBT Campus,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Business Management,Arts
Reading,Programming,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Software Engineering,Arts
Art,Problem Solving,Business,Sri Lanka Institute of Information Technology,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Exams,Business Information Systems,Arts
Music,Problem Solving,Arts,Asia Pacific Institute of Information Technology,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Law,Arts
Art,Leadership,Technology,ICBT Campus,Over 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Healthcare,Arts
Sports,Problem Solving,Technology,Sri Lanka Institute of Information Technology,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Network Security,Science
Sports,Communication,Business,Informatics Institute of Technology,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Presentations,AI & Data Science,Science
Music,Communication,Science,Informatics Institute of Technology,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Software Engineering,Arts
Reading,Problem Solving,Business,Esoft Metro Campus,20 - 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Information Systems,Arts
Sports,Problem Solving,Arts,ICBT Campus,10 - 20 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Exams,Business Analytics,Science
Travel,Leadership,Technology,ICBT Campus,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Business Information Systems,Arts
Sports,Communication,Business,Informatics Institute of Technology,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Art,Science
Sports,Communication,Science,Asia Pacific Institute of Information Technology,Over 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Cyber Security,Science
Reading,Programming,Business,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Software Engineering,Arts
Art,Leadership,Engineering,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Business Analytics,Arts
Sports,Programming,Science,Asia Pacific Institute of Information Technology,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Art,Science
Music,Communication,Arts,Informatics Institute of Technology,10 - 20 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Law,Arts
Art,Leadership,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Network Security,Arts
Travel,Problem Solving,Business,Informatics Institute of Technology,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Business Information Systems,Arts
Reading,Leadership,Science,Esoft Metro Campus,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Healthcare,Arts
Travel,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Presentations,Law,Arts
Art,Problem Solving,Science,ICBT Campus,Under 10 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Business Analytics,Arts
Art,Leadership,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Art,Arts
Art,Problem Solving,Arts,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Exams,Cyber Security,Arts
Travel,Programming,Technology,ICBT Campus,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Business Information Systems,Arts
Art,Communication,Arts,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Healthcare,Arts
Travel,Problem Solving,Business,Informatics Institute of Technology,10 - 20 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Network Security,Arts
Art,Programming,Science,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Cyber Security,Arts
Music,Problem Solving,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Exams,Business Management,Arts
Art,Communication,Engineering,Esoft Metro Campus,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Art,Arts
Travel,Programming,Science,Esoft Metro Campus,Under 10 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Law,Arts
Sports,Communication,Science,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Presentations,Healthcare,Science
Art,Communication,Business,ICBT Campus,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Presentations,Business Information Systems,Arts
Sports,Programming,Arts,ICBT Campus,Over 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Information Systems,Science
Music,Programming,Engineering,Esoft Metro Campus,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Exams,Business Analytics,Arts
Reading,Programming,Business,Esoft Metro Campus,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Healthcare,Arts
Music,Leadership,Arts,Informatics Institute of Technology,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Network Security,Arts
Art,Programming,Business,ICBT Campus,10 - 20 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Reports,AI & Data Science,Arts
Sports,Programming,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Business Management,Science
Sports,Programming,Science,ICBT Campus,Under 10 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Exams,Cyber Security,Science
Travel,Programming,Science,Informatics Institute of Technology,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Software Engineering,Arts
Sports,Problem Solving,Arts,Esoft Metro Campus,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Large Lectures,Exams,Software Engineering,Science
Travel,Leadership,Technology,Esoft Metro Campus,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Reports,Healthcare,Arts
Reading,Communication,Arts,Informatics Institute of Technology,Over 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Business Information Systems,Arts
Art,Programming,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Exams,Business Analytics,Arts
Travel,Problem Solving,Business,Esoft Metro Campus,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Computer Science,Arts
Reading,Problem Solving,Business,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Healthcare,Arts
Sports,Problem Solving,Engineering,Esoft Metro Campus,10 - 20 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Business Information Systems,Science
Sports,Communication,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Software Engineering,Science
Reading,Programming,Engineering,Informatics Institute of Technology,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Exams,Software Engineering,Arts
Sports,Leadership,Science,Informatics Institute of Technology,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Business Management,Science
Reading,Leadership,Technology,Esoft Metro Campus,20 - 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Law,Arts
Travel,Problem Solving,Arts,ICBT Campus,20 - 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Large Lectures,Reports,Computer Science,Arts
Travel,Communication,Science,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Discussion Groups,Reports,Business Information Systems,Arts
Reading,Communication,Science,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Management,Arts
Travel,Communication,Arts,Esoft Metro Campus,10 - 20 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Business Analytics,Arts
Travel,Leadership,Science,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Business Management,Arts
Travel,Problem Solving,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Business Information Systems,Arts
Music,Programming,Engineering,ICBT Campus,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Art,Arts
Art,Leadership,Science,ICBT Campus,10 - 20 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,AI & Data Science,Arts
Sports,Problem Solving,Technology,ICBT Campus,Over 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Healthcare,Science
Music,Problem Solving,Business,ICBT Campus,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Reports,Business Information Systems,Arts
Travel,Programming,Technology,Informatics Institute of Technology,20 - 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Network Security,Arts
Reading,Programming,Engineering,Informatics Institute of Technology,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Exams,Software Engineering,Arts
Travel,Programming,Technology,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Exams,Computer Science,Arts
Art,Communication,Arts,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Computer Science,Arts
Travel,Programming,Engineering,Esoft Metro Campus,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Healthcare,Arts
Reading,Problem Solving,Business,Esoft Metro Campus,10 - 20 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Law,Arts
Art,Programming,Arts,Informatics Institute of Technology,Under 10 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,AI & Data Science,Arts
Travel,Problem Solving,Technology,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Presentations,Network Security,Arts
Art,Leadership,Engineering,Informatics Institute of Technology,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Software Engineering,Arts
Sports,Communication,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Healthcare,Science
Sports,Leadership,Arts,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Healthcare,Science
Travel,Leadership,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Reports,Healthcare,Arts
Art,Problem Solving,Technology,ICBT Campus,20 - 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Exams,Computer Science,Arts
Reading,Leadership,Business,ICBT Campus,10 - 20 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Network Security,Arts
Travel,Problem Solving,Science,ICBT Campus,Under 10 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Sports,Programming,Arts,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Law,Science
Sports,Programming,Business,Esoft Metro Campus,Over 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Healthcare,Science
Travel,Problem Solving,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Business Information Systems,Arts
Art,Programming,Technology,ICBT Campus,10 - 20 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Business Information Systems,Arts
Sports,Communication,Business,ICBT Campus,Under 10 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Healthcare,Science
Art,Leadership,Technology,ICBT Campus,20 - 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Art,Arts
Sports,Communication,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Software Engineering,Science
Sports,Leadership,Engineering,ICBT Campus,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Large Lectures,Presentations,Network Security,Science
Music,Programming,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Cyber Security,Arts
Sports,Communication,Science,ICBT Campus,10 - 20 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Computer Science,Science
Reading,Programming,Business,Asia Pacific Institute of Information Technology,Under 10 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Business Analytics,Arts
Travel,Leadership,Science,Asia Pacific Institute of Information Technology,Over 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,Business Analytics,Arts
Travel,Problem Solving,Technology,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Exams,Business Information Systems,Arts
Art,Problem Solving,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Cyber Security,Arts
Sports,Communication,Technology,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Business Analytics,Science
Reading,Programming,Technology,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Presentations,AI & Data Science,Arts
Art,Programming,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Exams,AI & Data Science,Arts
Music,Communication,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Software Engineering,Arts
Art,Problem Solving,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Cyber Security,Arts
Art,Leadership,Arts,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Exams,AI & Data Science,Arts
Sports,Communication,Engineering,ICBT Campus,10 - 20 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Large Lectures,Reports,AI & Data Science,Science
Music,Leadership,Technology,Esoft Metro Campus,20 - 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Business Information Systems,Arts
Art,Problem Solving,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Reports,Business Analytics,Arts
Reading,Programming,Science,Esoft Metro Campus,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Software Engineering,Arts
Reading,Problem Solving,Science,Informatics Institute of Technology,20 - 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Discussion Groups,Exams,Network Security,Arts
Travel,Communication,Engineering,Informatics Institute of Technology,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Healthcare,Arts
Music,Programming,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Music,Communication,Business,Asia Pacific Institute of Information Technology,Over 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Computer Science,Arts
Travel,Communication,Science,ICBT Campus,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Computer Science,Arts
Art,Problem Solving,Engineering,Esoft Metro Campus,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Reports,Law,Arts
Music,Communication,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Internship,"Less than Rs 1,000,000/=",Online Lectures,Exams,Business Management,Arts
Reading,Problem Solving,Technology,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Reading,Programming,Business,Esoft Metro Campus,Over 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Computer Science,Arts
Sports,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Computer Science,Science
Music,Programming,Technology,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Network Security,Arts
Art,Problem Solving,Science,Informatics Institute of Technology,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Online Lectures,Reports,Cyber Security,Arts
Travel,Leadership,Business,Informatics Institute of Technology,Over 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Cyber Security,Arts
Travel,Leadership,Engineering,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Presentations,Network Security,Arts
Art,Communication,Business,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Business Analytics,Arts
Sports,Problem Solving,Science,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Business Management,Science
Travel,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Large Lectures,Presentations,Art,Arts
Music,Programming,Business,ICBT Campus,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Business Management,Arts
Sports,Communication,Arts,ICBT Campus,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Law,Science
Music,Problem Solving,Science,ICBT Campus,10 - 20 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Computer Science,Arts
Reading,Communication,Science,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Sports,Leadership,Science,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Online Lectures,Exams,Computer Science,Science
Travel,Problem Solving,Arts,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Reports,Business Management,Arts
Sports,Problem Solving,Arts,ICBT Campus,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Law,Science
Sports,Communication,Technology,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Analytics,Science
Sports,Problem Solving,Business,Informatics Institute of Technology,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Healthcare,Science
Sports,Communication,Technology,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Art,Science
Music,Problem Solving,Business,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Reports,AI & Data Science,Arts
Reading,Programming,Arts,Asia Pacific Institute of Information Technology,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Network Security,Arts
Art,Communication,Arts,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,Network Security,Arts
Sports,Problem Solving,Technology,ICBT Campus,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Large Lectures,Exams,Art,Science
Travel,Leadership,Engineering,Esoft Metro Campus,10 - 20 hours,No,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Management,Arts
Sports,Problem Solving,Technology,ICBT Campus,10 - 20 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,AI & Data Science,Science
Travel,Leadership,Business,Informatics Institute of Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Law,Arts
Music,Leadership,Technology,Esoft Metro Campus,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Cyber Security,Arts
Travel,Programming,Science,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Business Management,Arts
Art,Communication,Business,ICBT Campus,20 - 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Analytics,Arts
Reading,Problem Solving,Business,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Computer Science,Arts
Travel,Programming,Engineering,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Exams,Software Engineering,Arts
Travel,Problem Solving,Arts,ICBT Campus,Under 10 hours,No,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Reading,Leadership,Business,Esoft Metro Campus,20 - 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Healthcare,Arts
Art,Communication,Arts,ICBT Campus,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Presentations,Software Engineering,Arts
Sports,Problem Solving,Technology,Asia Pacific Institute of Information Technology,Over 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Reports,Business Management,Science
Travel,Problem Solving,Science,Informatics Institute of Technology,20 - 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Art,Arts
Reading,Leadership,Engineering,ICBT Campus,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Presentations,Healthcare,Arts
Music,Problem Solving,Arts,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Software Engineering,Arts
Reading,Problem Solving,Business,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Exams,Business Management,Arts
Music,Leadership,Arts,Informatics Institute of Technology,20 - 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Network Security,Arts
Art,Programming,Business,Sri Lanka Institute of Information Technology,Under 10 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,Healthcare,Arts
Sports,Leadership,Arts,ICBT Campus,20 - 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Exams,Software Engineering,Science
Reading,Programming,Business,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Internship,"Less than Rs 1,000,000/=",Online Lectures,Reports,Business Management,Arts
Travel,Communication,Technology,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Cyber Security,Arts
Art,Programming,Business,Esoft Metro Campus,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Computer Science,Arts
Reading,Programming,Business,Asia Pacific Institute of Information Technology,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Cyber Security,Arts
Travel,Communication,Science,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Reports,AI & Data Science,Arts
Reading,Programming,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Exams,Business Management,Arts
Music,Leadership,Science,Esoft Metro Campus,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Large Lectures,Reports,Business Information Systems,Arts
